modeling_column,response_2024,response_2017
ONEHOT.PARTICIPATION_TYPE.FOLLOW,Follow updates and discussions of open source projects,1
ONEHOT.PARTICIPATION_TYPE.USE_APPLICATIONS,Use open source applications,1
ONEHOT.PARTICIPATION_TYPE.USE_DEPENDENCIES,Use open source dependencies in other projects,1
ONEHOT.PARTICIPATION_TYPE.CONTRIBUTE,"Participate in open source development (including making feature requests, filing bugs, contribution of docs or code, project maintenance, etc.)",1
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_CODE,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_CODE,Never,Never
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_CODE,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_CODE,Rarely,Rarely
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_DOCS,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_DOCS,Never,Never
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_DOCS,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_DOCS,Rarely,Rarely
LIKERT.CONTRIBUTOR_TYPE.PROJECT_MAINTENANCE,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.PROJECT_MAINTENANCE,Never,Never
LIKERT.CONTRIBUTOR_TYPE.PROJECT_MAINTENANCE,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.PROJECT_MAINTENANCE,Rarely,Rarely
LIKERT.CONTRIBUTOR_TYPE.FILE_BUGS,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.FILE_BUGS,Never,Never
LIKERT.CONTRIBUTOR_TYPE.FILE_BUGS,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.FILE_BUGS,Rarely,Rarely
LIKERT.CONTRIBUTOR_TYPE.FEATURE_REQUESTS,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.FEATURE_REQUESTS,Never,Never
LIKERT.CONTRIBUTOR_TYPE.FEATURE_REQUESTS,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.FEATURE_REQUESTS,Rarely,Rarely
LIKERT.CONTRIBUTOR_TYPE.COMMUNITY_ADMIN,Frequently,Frequently
LIKERT.CONTRIBUTOR_TYPE.COMMUNITY_ADMIN,Never,Never
LIKERT.CONTRIBUTOR_TYPE.COMMUNITY_ADMIN,Occasionally,Occasionally
LIKERT.CONTRIBUTOR_TYPE.COMMUNITY_ADMIN,Rarely,Rarely
MULT.EMPLOYMENT_STATUS,Employed full time,Employed full time
MULT.EMPLOYMENT_STATUS,Employed part time,Employed part time
MULT.EMPLOYMENT_STATUS,Full time student,Full time student
MULT.EMPLOYMENT_STATUS,Other (please describe),Other - please describe
MULT.EMPLOYMENT_STATUS,"Retired or Permanently not working (e.g. due to disability, etc.)",Retired or permanently not working (e.g. due to disability)
MULT.EMPLOYMENT_STATUS,Temporarily not working,Temporarily not working
LIKERT.PROFESSIONAL_SOFTWARE,Frequently,Frequently
LIKERT.PROFESSIONAL_SOFTWARE,Never,Never
LIKERT.PROFESSIONAL_SOFTWARE,Occasionally,Occasionally
LIKERT.PROFESSIONAL_SOFTWARE,Rarely,Rarely
LIKERT.FUTURE_CONTRIBUTION_INTEREST,Not interested at all,Not at all interested
LIKERT.FUTURE_CONTRIBUTION_INTEREST,Not too interested,Not too interested
LIKERT.FUTURE_CONTRIBUTION_INTEREST,Somewhat interested,Somewhat interested
LIKERT.FUTURE_CONTRIBUTION_INTEREST,Very interested,Very interested
POSNEG.FUTURE_CONTRIBUTION_LIKELIHOOD,Somewhat likely,Somewhat likely
POSNEG.FUTURE_CONTRIBUTION_LIKELIHOOD,Somewhat unlikely,Somewhat unlikely
POSNEG.FUTURE_CONTRIBUTION_LIKELIHOOD,Very likely,Very likely
POSNEG.FUTURE_CONTRIBUTION_LIKELIHOOD,Very unlikely,Very unlikely
POSNEG.OSS_USER_PRIORITIES.LICENSE,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.LICENSE,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.LICENSE,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.LICENSE,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.LICENSE,Very important not to have,Very important not to have
POSNEG.OSS_USER_PRIORITIES.LICENSE,Very important to have,Very important to have
POSNEG.OSS_USER_PRIORITIES.COC,Don't know what this is,Don't know what this is
POSNEG.OSS_USER_PRIORITIES.COC,Not important either way,Not important either way
POSNEG.OSS_USER_PRIORITIES.COC,Somewhat important not to have,Somewhat important not to have
POSNEG.OSS_USER_PRIORITIES.COC,Somewhat important to have,Somewhat important to have
POSNEG.OSS_USER_PRIORITIES.COC,Very important not to have,Very important not to have
