modeling_column,column_2017,column_2024
ONEHOT.PARTICIPATION_TYPE.FOLLOW,PARTICIPATION.TYPE.FOLLOW,People participate in open source in different ways. Which of the following activities do you engage in? Choose all that apply. | Follow updates and discussions of open source projects
ONEHOT.PARTICIPATION_TYPE.USE_APPLICATIONS,PARTICIPATION.TYPE.USE.APPLICATIONS,People participate in open source in different ways. Which of the following activities do you engage in? Choose all that apply. | Use open source applications
ONEHOT.PARTICIPATION_TYPE.USE_DEPENDENCIES,PARTICIPATION.TYPE.USE.DEPENDENCIES,People participate in open source in different ways. Which of the following activities do you engage in? Choose all that apply. | Use open source dependencies in other projects
ONEHOT.PARTICIPATION_TYPE.CONTRIBUTE,PARTICIPATION.TYPE.CONTRIBUTE,"People participate in open source in different ways. Which of the following activities do you engage in? Choose all that apply. | Participate in open source development (including making feature requests, filing bugs, contribution of docs or code, project maintenance, etc.)"
ONEHOT.PARTICIPATION_TYPE.OTHER,PARTICIPATION.TYPE.OTHER,People participate in open source in different ways. Which of the following activities do you engage in? Choose all that apply. | Other (please describe)
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_CODE,CONTRIBUTOR.TYPE.CONTRIBUTE.CODE,How often do you engage in each of the following activities? | Contribute code
LIKERT.CONTRIBUTOR_TYPE.CONTRIBUTE_DOCS,CONTRIBUTOR.TYPE.CONTRIBUTE.DOCS,How often do you engage in each of the following activities? | Contribute documentation
LIKERT.CONTRIBUTOR_TYPE.PROJECT_MAINTENANCE,CONTRIBUTOR.TYPE.PROJECT.MAINTENANCE,"How often do you engage in each of the following activities? | Maintain project (e.g. review and merge contributions, manage releases)"
LIKERT.CONTRIBUTOR_TYPE.FILE_BUGS,CONTRIBUTOR.TYPE.FILE.BUGS,How often do you engage in each of the following activities? | Report or document bugs and unexpected behaviors
LIKERT.CONTRIBUTOR_TYPE.FEATURE_REQUESTS,CONTRIBUTOR.TYPE.FEATURE.REQUESTS,How often do you engage in each of the following activities? | Offer ideas for new features
LIKERT.CONTRIBUTOR_TYPE.COMMUNITY_ADMIN,CONTRIBUTOR.TYPE.COMMUNITY.ADMIN,"How often do you engage in each of the following activities? | Perform organizational/administrative functions (e.g. manage mailing lists, organize events)"
MULT.EMPLOYMENT_STATUS,EMPLOYMENT.STATUS,Which best describes your employment (paid work) status? | Response
LIKERT.PROFESSIONAL_SOFTWARE,PROFESSIONAL.SOFTWARE,"In your main job, how often do you write or otherwise directly contribute to producing software? | Response"
LIKERT.FUTURE_CONTRIBUTION_INTEREST,FUTURE.CONTRIBUTION.INTEREST,How interested are you in contributing to open source projects in the future? | Response
POSNEG.FUTURE_CONTRIBUTION_LIKELIHOOD,FUTURE.CONTRIBUTION.LIKELIHOOD,How likely are you to contribute to open source projects in the future? | Response
POSNEG.OSS_USER_PRIORITIES.LICENSE,OSS.USER.PRIORITIES.LICENSE,"When thinking about whether to use open source software, how important are the following things? | An open source license"
POSNEG.OSS_USER_PRIORITIES.COC,OSS.USER.PRIORITIES.CODE.OF.CONDUCT,"When thinking about whether to use open source software, how important are the following things? | A code of conduct"
POSNEG.OSS_USER_PRIORITIES.CONTRIBUTING_GUIDE,OSS.USER.PRIORITIES.CONTRIBUTING.GUIDE,"When thinking about whether to use open source software, how important are the following things? | A contributing guide"
POSNEG.OSS_USER_PRIORITIES.CLA,OSS.USER.PRIORITIES.CLA,"When thinking about whether to use open source software, how important are the following things? | A contributor's license agreement (CLA)"
POSNEG.OSS_USER_PRIORITIES.ACTIVE_DEVELOPMENT,OSS.USER.PRIORITIES.ACTIVE.DEVELOPMENT,"When thinking about whether to use open source software, how important are the following things? | Active development"
POSNEG.OSS_USER_PRIORITIES.RESPONSIVE_MAINTAINERS,OSS.USER.PRIORITIES.RESPONSIVE.MAINTAINERS,"When thinking about whether to use open source software, how important are the following things? | Responsive maintainers"
POSNEG.OSS_USER_PRIORITIES.WELCOMING_COMMUNITY,OSS.USER.PRIORITIES.WELCOMING.COMMUNITY,"When thinking about whether to use open source software, how important are the following things? | A welcoming community"
POSNEG.OSS_USER_PRIORITIES.WIDESPREAD_USE,OSS.USER.PRIORITIES.WIDESPREAD.USE,"When thinking about whether to use open source software, how important are the following things? | Widespread use"
POSNEG.OSS_USER_PRIORITIES.SECURITY_BY_DESIGN,,"When thinking about whether to use open source software, how important are the following things? | Security by design"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.LICENSE,OSS.CONTRIBUTOR.PRIORITIES.LICENSE,"When thinking about whether to contribute to an open source project, how important are the following things? | An open source license"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.COC,OSS.CONTRIBUTOR.PRIORITIES.CODE.OF.CONDUCT,"When thinking about whether to contribute to an open source project, how important are the following things? | A code of conduct"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CONTRIBUTING_GUIDE,OSS.CONTRIBUTOR.PRIORITIES.CONTRIBUTING.GUIDE,"When thinking about whether to contribute to an open source project, how important are the following things? | A contributing guide"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.CLA,OSS.CONTRIBUTOR.PRIORITIES.CLA,"When thinking about whether to contribute to an open source project, how important are the following things? | A contributor's license agreement (CLA)"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.ACTIVE_DEVELOPMENT,OSS.CONTRIBUTOR.PRIORITIES.ACTIVE.DEVELOPMENT,"When thinking about whether to contribute to an open source project, how important are the following things? | Active development"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.RESPONSIVE_MAINTAINERS,OSS.CONTRIBUTOR.PRIORITIES.RESPONSIVE.MAINTAINERS,"When thinking about whether to contribute to an open source project, how important are the following things? | Responsive maintainers"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WELCOMING_COMMUNITY,OSS.CONTRIBUTOR.PRIORITIES.WELCOMING.COMMUNITY,"When thinking about whether to contribute to an open source project, how important are the following things? | A welcoming community"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.WIDESPREAD_USE,OSS.CONTRIBUTOR.PRIORITIES.WIDESPREAD.USE,"When thinking about whether to contribute to an open source project, how important are the following things? | Widespread use"
POSNEG.OSS_CONTRIBUTOR_PRIORITIES.SECURITY_BY_DESIGN,,"When thinking about whether to contribute to an open source project, how important are the following things? | Security by design"
LIKERT.SEEK_OPEN_SOURCE,SEEK.OPEN.SOURCE,How often do you try to find open source options over other kinds of software? | Response
POSNEG.OSS_UX,OSS.UX,"Do you believe that open source software is generally easier to use than closed source (proprietary) software, harder to use, or about the same? | Response"
POSNEG.OSS_SECURITY,OSS.SECURITY,"Do you believe that open source software is generally more secure than closed source (proprietary) software, less secure, or about the same? | Response"
