column,response,column1,year,count,total_count,proportion
ONEHOT.NEGATIVE_RESPONSE.ASKED_USER_TO_STOP,1,Asked the user(s) to stop the harassing behavior,2024,376,1337,0.281226626776365
ONEHOT.NEGATIVE_RESPONSE.ASKED_USER_TO_STOP,1,Asked the user(s) to stop the harassing behavior,2017,183,659,0.27769347496206376
ONEHOT.NEGATIVE_RESPONSE.BLOCKED_USER,1,Blocked the user(s) harassing me,2024,457,1337,0.34181002243829467
ONEHOT.NEGATIVE_RESPONSE.BLOCKED_USER,1,Blocked the user(s) harassing me,2017,155,659,0.23520485584218512
ONEHOT.NEGATIVE_RESPONSE.CONSULTED_LEGAL_COUNSEL,1,Consulted legal counsel/ an attorney,2024,55,1337,0.04113687359760658
ONEHOT.NEGATIVE_RESPONSE.CONSULTED_LEGAL_COUNSEL,1,Consulted legal counsel/ an attorney,2017,8,659,0.012139605462822459
ONEHOT.NEGATIVE_RESPONSE.CONTACTED_LAW_ENFORCEMENT,1,Contacted law enforcement,2024,42,1337,0.031413612565445025
ONEHOT.NEGATIVE_RESPONSE.CONTACTED_LAW_ENFORCEMENT,1,Contacted law enforcement,2017,9,659,0.013657056145675266
ONEHOT.NEGATIVE_RESPONSE.IGNORED,1,I did not react / ignored the incident,2017,320,659,0.48558421851289835
ONEHOT.NEGATIVE_RESPONSE.IGNORED,1,I did not react / ignored the incident,2024,466,1237,0.3767178658043654
ONEHOT.NEGATIVE_RESPONSE.OTHER,1,Other,2017,67,659,0.10166919575113809
ONEHOT.NEGATIVE_RESPONSE.OTHER,1,Other,2024,84,1337,0.06282722513089005
ONEHOT.NEGATIVE_RESPONSE.REPORTED_TO_HOST_OR_ISP,1,Reported the incident to the hosting service or ISP,2024,116,1337,0.08676140613313388
ONEHOT.NEGATIVE_RESPONSE.REPORTED_TO_HOST_OR_ISP,1,Reported the incident to the hosting service or ISP,2017,19,659,0.028831562974203338
ONEHOT.NEGATIVE_RESPONSE.REPORTED_TO_MAINTAINERS,1,Reported the incident to project maintainers,2024,283,1337,0.21166791323859388
ONEHOT.NEGATIVE_RESPONSE.REPORTED_TO_MAINTAINERS,1,Reported the incident to project maintainers,2017,89,659,0.13505311077389984
ONEHOT.NEGATIVE_RESPONSE.SOLICITED_COMMUNITY_SUPPORT,1,Solicited support from other community members,2024,229,1337,0.1712789827973074
ONEHOT.NEGATIVE_RESPONSE.SOLICITED_COMMUNITY_SUPPORT,1,Solicited support from other community members,2017,102,659,0.15477996965098634
